Text,category
tv future in the hands of viewers with home theatre systems plasma high-definition tvs and digital...,technology
"Microsoft Is Retiring Internet Explorer in 2022, Edge Will Support Many of Its Functions",technology
"Cryptocurrency Market Sees a Massive Dip as Bitcoin, Dogecoin Price Fall Sharply on China Ban, Musk Tweets",technology
NASA Releases Stunning Image Of Huge Glacier Melting Away Taken From International Space Station,technology
"OnePlus 9R Getting OxygenOS 11.2.1.2 in India With Camera, Gallery, System Improvements",technology
"Spotify getting three new features: Podcast transcripts, text resizing option, and more",technology
"Twitter finds its AI tends to crop out Black people, men from photos",technology
Govt again warns WhatsApp to scrap its privacy policy,technology
security warning over fbi virus the us federal bureau of investigation is warning that a computer ...,technology
mobile audio enters new dimension as mobile phones move closer to being a ubiquitous all-in-one med...,technology
"Airtel to provide free recharge packs, double benefits to low-income customers impacted by COVID-19",technology
Instagram will soon allow users to post content from their desktops and even tablets,technology
"Apple Days' sale on Flipkart offers discounts on iPhone 12, iPhone 12 Pro, and more",technology
Spotify to auto-transcribe podcasts over coming weeks,technology
"snapchat hits 500M monthly users,india sees 100% user growth",technology
"Mamata writes to Modi, seeks 20 lakh vaccine doses for state, central government employees",politics
Uttar Pradesh govt should actively help people in rural areas battling COVID-19: Mayawati,politics
Govt launches six-month programme on rehabilitation of persons with disabilities,politics
Jaishankar describes Delhi CM’s comments on Singapore variant as irresponsible,politics
"Sonia Gandhi Writes to PM Modi, Seeks Free Education for Kids Orphaned During Pandemic",politics
"Mamata says was not allowed to speak in PM's meeting on COVID situation, calls it super-flop",politics
"Pinarayi Vijayan Sworn in as Kerala Chief Minister for Second Term, 20 Ministers Inducted in Cabinet",politics
MP's strategy to tackle coronavirus appreciated by Modi: Government,politics
"Chhattisgarh Police Lodges FIR Against Dr Sambit Patra, Dr Raman Singh in Toolkit Case",politics
"No Spouses, Relatives of MLAs': Kerala HC Directions to Reduce Crowd at New Govt's Swearing-in​",politics
Uttarakhand Congress Puts Up Banners Asking PM Modi About Vaccine Shortage,politics
SC to pass order on Mar 5 on whether to refer matter to court-appointed mediator,politics
PM Modi inaugurates several welfare projects in Tamil Nadu,politics
India’s vaccine diplomacy failure and its foreign policy implications,politics
"A day after CBI arrests TMC leaders, Mamata Banerjee writes to President, PM seeking change of West Bengal Governor",politics
post surgery federer gears up for first tournament in two months,sports
3 member indian tennis team for world jr qualifying round,sports
manchester city crowned premier league champions,sports
england cricket board reports big loss in 2020-21 due to covid-19,sports
indian woman's cricket squads name for england tour,sports
india could tour srilanka for limited over series in july,sports
belief of winning olympic medal motivates us hockey captain manpreet,sports
indian shooters to compete in zagreb world cup in june,sports
nocs given to four women crickters for hundred,sports
ipl 2021 postponed with immediate effect,sports
boxing federation wary of sending team for dubai asian meet,sports
world youth boxing sachin clinches gold,sports
kohli becomes first to reach 6000 runs in ipl history,sports
india suffer their first defeat on argentina hockey tour,sports
swimmer sajan wins gold but misses olympic cut,sports
crazy star ravichandran to act in drishyam 2 kannada remake,entertainment
khiccha sudeep appreciates the trailer of moksha,entertainment
subramaniya [prasad's kode muruga to hit screen this week,entertainment
rishab shettys hero is a box office hit,entertainment
pooja gandhi's samharini is ready for release,entertainment
release date of kgf chapter 2 to be revealed at 6.32 pm today,entertainment
kathalekhana prepares for second phase of shooting,entertainment
yuvaratna to hit the big screen on april 1,entertainment
rasmika mandana to act alongside big b,entertainment
13th bengaluru film festival to be held in feb,entertainment
kannada film stars ambarish's fans build temple in his memory,entertainment
ashwathama to be shiv rajkumar's next film,entertainment
power stars start shooting for james film,entertainment
vijay surya of agnisakshi fame to act in sandalwood movie veera putra,entertainment
bhajarangi 2 teaser garners over 10 lac views in 24 hours,entertainment
"sensex up 600 points,nifty reclaims 15000 mark",business
tourism sector seeks gst rationalisation,business
indian oil corp reports q4 net profit of rs 8781 cr,business
tata projects wins major cntract from chennai metro rail,business
hero motocop has also extened the duration of all its warranty and free services,business
bitcoin under pressure as comeback fades,business
dollar heads for weekly loss as traders shrug off taper talk,business
"oil nudges up,set for biggest weekly loss since march on possible iran supplies",business
"petrol,diesel hiked for 11th time this month after a two day pause",business
india to become major production hub for acc batteries,business
india's april exports rise to over $30 billion,business
jio comes up with special initiatives for jiophone users amid pandemic,business
hero motocop extends closure of plants till may 16,business
reliance reatil is second fastest growing retailer in the world,business
equity indices trim gains amid volatility ,business
head and neck cancers: causes and management,health
how does our body cope with stress of viral infections?,health
doctors's advice for post vaccine care at home,health
5 breathing exercises to strengthen your respiratory system,health
covid 19 could cause long lasting damage to heart:doctors,health
fingernail hygiene important to stop infection spread,health
why age matters when it comes to your fertlity,health
this is how highly infectious covid variant gets neutralised,health
covid pandemic worsened outcomes for kidney disease patients,health
2-dose vaccination no guarantee that you wont get covid,health
bp pills may raise hear disease risk in people with hiv,health
added sugar linked to liver disease among children,health
diabetes drug may be new weapon against hiv,health
"iisc researchers develop new,faster way to detect tb",health
why dont we have a cure for alzheimer's disease?,health
kite camera developed by iiit hyderabad researchers,technology
the world now has over 3Bn active android devices,technology
google unveils new feature for faster connectivity,technology
google phone app can now announce who's calling,technology
apple watch introduces new pride edition braided solo loop,technology
apple music fans get spatial audio with bolby atmos for free,technology
realme to launch D brand under techlife vertical on may 25,technology
